Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
4096,32,32,2,1,86.9985,2.88409,174.105,211.394,298.85,53.9208,0,36,36,1579.78,10.0321,4.62828,1024
4096,16,32,2,1,88.9842,2.48328,180.338,205.474,299.613,54.7228,0,36,36,1544.53,10.2456,4.52499,512
4096,32,16,2,1,92.1196,2.72799,188.819,238.457,308.015,54.7324,0,36,36,1491.96,8.12066,4.37098,512
1024,8,8,3,0,0.956934,0.0422471,0,58.126,59.28,54.5209,0,32,32,2244.13,622.493,13.1492,64
1024,16,16,3,0,0.690758,0.0381144,0,57.163,58.51,51.2074,0,32,32,3108.88,522.01,18.2161,256
1024,32,32,3,0,0.795373,0.0373967,0,58.045,58.142,51.2036,0,32,32,2699.97,394.654,15.8201,1024
1024,16,32,3,0,0.712605,0.0367751,0,58.029,58.237,51.1955,0,32,32,3013.57,441.002,17.6576,512
1024,32,16,3,0,0.730282,0.0370715,0,58.127,58.334,51.2123,0,32,32,2940.62,425.273,17.2302,512
2048,8,8,3,0,6.85544,0.0344755,0,63.301,84.876,51.2096,0,32,32,2506.02,207.256,7.34186,64
2048,16,16,3,0,4.87366,0.0478702,0,68.1,79.803,51.1954,0,32,32,3525.05,208.526,10.3273,256
2048,32,32,3,0,5.36375,0.048103,0,63.994,83.053,51.2044,0,33,33,3202.96,250.434,9.38366,1024
2048,16,32,3,0,5.16263,0.0730038,0,67.63,90.547,51.204,0,32,32,3327.74,202.589,9.74923,512
2048,32,16,3,0,5.40778,0.0320103,0,68.593,78.824,51.2285,0,33,32,3176.88,182.952,9.30726,512
4096,8,8,3,0,52.698,0.079798,65.9515,162.227,218.164,51.2039,0,34,34,2608.05,23.4911,3.82039,64
4096,16,16,3,0,37.1649,0.0541613,39.3042,152.286,218.567,51.2059,0,34,34,3698.09,36.5858,5.41712,256
4096,32,32,3,0,40.5935,0.189396,52.6025,127.48,195.978,51.2019,0,34,34,3385.74,44.3865,4.95958,1024
4096,16,32,3,0,38.0165,0.174626,39.7182,142.876,203.1,51.2048,0,34,33,3615.24,39.4369,5.29576,512
4096,32,16,3,0,38.7847,0.140498,37.1845,144.224,210.664,51.2133,0,34,34,3543.64,38.0993,5.19087,512
1024,8,8,3,1,0.619235,0.026949,0,56.01,56.987,51.211,0,32,32,3467.96,722.639,40.6402,64
1024,16,16,3,1,0.447782,0.0367607,0,55.419,56.602,51.2043,0,32,32,4795.82,1137.87,56.201,256
1024,32,32,3,1,0.505258,0.0374986,0,55.543,55.735,51.2205,0,32,32,4250.27,983.281,49.8079,1024
1024,16,32,3,1,0.445174,0.0362776,0,54.279,56.12,51.2082,0,32,32,4823.92,1570.88,56.5303,512
1024,32,16,3,1,0.466618,0.0382829,0,56.12,56.314,51.2055,0,33,32,4602.23,936.453,53.9324,512
2048,8,8,3,1,4.22571,0.0494966,0,62.621,92.759,51.2765,0,32,32,4065.56,358.372,23.8216,64
2048,16,16,3,1,2.95555,0.0418322,0,69.826,84.518,51.2636,0,33,32,5812.75,313.146,34.0591,256
2048,32,32,3,1,3.2284,0.0379598,0,67.424,71.368,51.2144,0,33,32,5321.49,328.293,31.1806,1024
2048,16,32,3,1,3.08183,0.0324781,0,69.35,83.365,51.2096,0,33,33,5574.56,307.301,32.6634,512
2048,32,16,3,1,3.04011,0.070611,0,70.228,72.617,51.2104,0,33,32,5651.06,297.15,33.1117,512
4096,8,8,3,1,46.4367,0.108936,55.7284,144.508,189.254,51.2389,0,33,33,2959.7,31.7331,8.671,64
4096,16,16,3,1,23.939,0.313911,17.3045,121.154,202.603,51.211,0,34,33,5741.21,82.0835,16.82,256
4096,32,32,3,1,23.7329,0.0486679,15.2409,80.843,176.309,51.214,0,33,33,5791.08,195.453,16.9661,1024
4096,16,32,3,1,23.6077,0.104783,15.628,69.171,182.252,51.2106,0,34,32,5821.79,324.146,17.056,512
4096,32,16,3,1,22.7834,0.0541975,11.7223,69.154,177.935,51.2076,0,33,32,6032.42,336.136,17.6731,512
1024,8,8,4,0,1.03062,0.0393426,0,57.838,58.127,51.2326,0,33,32,2083.68,315.452,12.2091,64
1024,16,16,4,0,1.01097,0.0357218,0,59.279,59.664,51.2118,0,33,32,2124.18,263.311,12.4464,256
1024,32,32,4,0,0.580509,0.043264,0,53.702,54.87,51.2177,0,33,32,3699.31,1489.06,21.6757,1024
1024,16,32,4,0,0.55783,0.0383376,0,55.239,56.202,51.2038,0,33,32,3849.71,954.04,22.5569,512
1024,32,16,4,0,0.983824,0.0372003,0,57.358,57.454,51.243,0,33,32,2182.79,356.956,12.7898,512
2048,8,8,4,0,7.68796,0.0367615,0,63.128,79.035,51.2115,0,32,32,2234.65,187.525,6.54681,64
2048,16,16,4,0,7.62211,0.0362882,0,68.207,80.386,51.2143,0,32,32,2253.95,132.643,6.60337,256
2048,32,32,4,0,3.95182,0.0378238,0,60.725,74.617,51.1968,0,33,32,4347.33,456.257,12.7363,1024
2048,16,32,4,0,3.95127,0.0386229,0,88.066,88.066,51.2081,0,32,32,4347.94,117.965,12.7381,512
2048,32,16,4,0,7.23416,0.0411174,0,62.438,71.38,51.2084,0,32,32,2374.83,211.48,6.9575,512
4096,8,8,4,0,60.847,0.187239,73.4876,141.279,178.805,51.2216,0,34,34,2258.76,25.0813,3.30873,64
4096,16,16,4,0,59.8664,0.048581,73.6467,152.3,206.223,51.2494,0,34,34,2295.76,22.7189,3.36293,256
4096,32,32,4,0,32.0096,0.0680731,27.0395,104.744,145.979,51.2317,0,33,33,4293.68,80.2367,6.28956,1024
