Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
2048,32,32,3,0,5.38838,0.0686012,0,82.208,82.208,51.2259,0,32,32,3188.32,102.908,9.34078,1024
2048,16,32,3,0,5.16278,0.0628554,0,66.85,93.21,51.2138,0,32,32,3327.64,212.816,9.74894,512
2048,32,16,3,0,5.40351,0.0137126,0,67.534,67.534,51.1996,0,32,32,3179.39,194.644,9.31463,512
4096,8,8,3,0,52.7068,0.0452095,27.8045,137.04,216.28,51.1989,0,34,34,2607.61,30.3772,3.81974,64
4096,16,16,3,0,37.2257,0.0867496,16.2811,151.319,217.25,51.1932,0,34,33,3692.05,36.8742,5.40827,256
4096,32,32,3,0,40.4868,0.0955786,26.3461,122.419,185.734,51.1845,0,34,33,3394.66,47.6549,4.97265,1024
4096,16,32,3,0,37.9514,0.0649094,20.6049,141.864,202.62,51.1778,0,34,33,3621.45,39.9337,5.30486,512
4096,32,16,3,0,38.7488,0.0957454,20.5381,144.361,209.448,51.1873,0,34,33,3546.92,38.0677,5.19569,512
6144,8,8,3,0,238.357,6.16723,261.482,239.47,259.299,51.2005,0,36,36,1946.06,10.3366,1.90045,64
6144,16,16,3,0,120.516,4.2076,133.902,226.259,319.591,54.7534,0,36,36,3848.92,22.442,3.75871,256
6144,32,32,3,0,122.14,7.45215,129.33,237.626,294.927,55.1408,0,36,36,3797.76,20.8113,3.70875,1024
6144,16,32,3,0,118.418,5.47341,134.696,255.344,305.613,60.9772,0,36,36,3917.11,20.1531,3.8253,512
6144,32,16,3,0,119.586,5.08338,134.637,227.089,318.715,57.6502,0,36,36,3878.86,22.8924,3.78795,512
8192,8,8,3,0,491.628,3.57311,611.75,254.369,279.478,58.1618,0,37,37,2236.47,11.3985,1.63804,64
8192,16,16,3,0,276.372,6.8446,348.674,258.675,308.712,61.8018,0,37,37,3978.37,20.2078,2.91385,256
8192,32,32,3,0,282.963,9.59658,358.206,269.299,298.55,55.8092,0,38,38,3885.71,18.2009,2.84598,1024
8192,16,32,3,0,273.14,9.96734,347.954,260.405,312.205,61.634,0,38,38,4025.44,20.2517,2.94832,512
8192,32,16,3,0,279.568,5.36256,348.332,258.713,312.687,61.6817,0,38,38,3932.89,19.9608,2.88054,512
512,8,8,4,0,0.183795,0.040399,0,52.066,60.336,59.1193,0,33,33,1460.51,28.0512,17.1154,64
512,16,16,4,0,0.189645,0.0487209,0,52.752,52.752,51.2966,0,33,33,1415.46,972.553,16.5875,256
512,32,32,4,0,0.141632,0.0498083,0,51.489,51.79,51.2687,0,33,33,1895.3,36.8098,22.2106,1024
512,16,32,4,0,0.144403,0.0473953,0,51.874,51.874,51.2468,0,33,33,1858.93,35.8355,21.7843,512
512,32,16,4,0,0.189606,0.0493761,0,51.777,52.072,51.2811,0,33,33,1415.75,27.3432,16.5908,512
1024,8,8,4,0,1.03576,0.0466401,0,57.645,58.03,51.2357,0,33,33,2073.33,323.49,12.1484,64
1024,16,16,4,0,1.00927,0.0508494,0,59.472,59.857,51.2638,0,33,33,2127.77,259.223,12.4674,256
1024,32,32,4,0,0.598387,0.0513192,0,54.382,54.676,51.2535,0,33,32,3588.79,1147.14,21.028,1024
1024,16,32,4,0,0.56448,0.0525248,0,55.049,55.335,51.2892,0,33,32,3804.36,1011.86,22.2912,512
1024,32,16,4,0,0.993632,0.0491685,0,57.163,57.645,51.2513,0,33,33,2161.25,365.585,12.6636,512
2048,8,8,4,0,7.69759,0.0449777,0,65.806,71.461,51.2444,0,33,33,2231.85,153.27,6.53862,64
2048,16,16,4,0,7.62061,0.0428106,0,66.86,94.488,51.2968,0,33,32,2254.39,144.854,6.60467,256
2048,32,32,4,0,3.95634,0.0500252,0,61.573,67.82,51.2845,0,33,33,4342.37,422.059,12.7218,1024
2048,16,32,4,0,3.96515,0.0501884,0,86.227,86.227,51.2584,0,33,33,4332.72,123.903,12.6935,512
2048,32,16,4,0,7.24291,0.0492773,0,62.629,76.462,51.2851,0,33,33,2371.96,209.096,6.94909,512
4096,8,8,4,0,60.7834,0.0431499,37.9124,135.364,178.228,51.2712,0,34,34,2261.13,26.8886,3.3122,64
4096,16,16,4,0,59.8693,0.0457101,37.7847,150.266,206.65,51.254,0,34,34,2295.65,23.1857,3.36277,256
4096,32,32,4,0,32.0276,0.0435729,12.1698,88.0217,143.894,51.2764,0,33,33,4291.26,116.784,6.28603,1024
4096,16,32,4,0,30.7539,0.0456982,15.408,134.949,186.508,51.2872,0,34,34,4469,53.4177,6.54639,512
4096,32,16,4,0,58.7794,0.0583331,31.9209,127.137,164.706,51.2465,0,34,34,2338.22,30.8103,3.42512,512
6144,8,8,4,0,181.104,7.35781,212.973,245.239,281.29,51.2771,0,36,36,2561.27,13.205,2.50124,64
6144,16,16,4,0,193.13,5.16901,236.408,253.265,280.844,54.6996,0,37,37,2401.78,12.0956,2.34549,256
6144,32,32,4,0,100.154,5.54775,77.7379,186.987,218.944,61.7558,0,35,35,4631.45,36.9833,4.5229,1024
6144,16,32,4,0,102.439,4.02188,103.847,229.203,271.151,61.7556,0,36,36,4528.14,27.0421,4.42201,512
6144,32,16,4,0,181.171,10.8955,177.279,215.692,233.97,61.7716,0,36,36,2560.32,16.6341,2.50032,512
8192,8,8,4,0,425.738,14.266,523.929,256.76,283.138,61.8316,0,37,37,2582.6,13.249,1.89155,64
8192,16,16,4,0,450.783,8.30793,583.252,264.785,286.354,61.8904,0,38,38,2439.11,12.0216,1.78646,256
8192,32,32,4,0,229.676,10.7494,219.803,204.124,219.596,61.6824,0,36,36,4787.23,33.6084,3.50627,1024
8192,16,32,4,0,236.008,8.25646,287.783,258.948,278.935,61.7985,0,37,37,4658.79,23.6308,3.4122,512
8192,32,16,4,0,412.515,10.4404,451.81,227.457,239.146,61.5617,0,37,37,2665.39,16.0667,1.95219,512
512,8,8,5,0,0.251782,0.0362268,0,52.162,63.593,61.9373,0,33,33,1066.14,20.439,12.4938,64
512,16,16,5,0,0.208083,0.0517389,0,51.777,52.548,51.2473,0,33,33,1290.04,24.9153,15.1176,256
512,32,32,5,0,0.206477,0.0463887,0,52.367,52.367,51.2434,0,33,32,1300.08,1157.06,15.2353,1024
512,16,32,5,0,0.202419,0.0524961,0,52.752,52.752,51.227,0,32,32,1326.14,869.581,15.5407,512
512,32,16,5,0,0.20464,0.0501958,0,51.778,52.356,51.2182,0,32,32,1311.74,25.334,15.372,512
1024,8,8,5,0,1.50417,0.0486437,0,62.936,63.032,51.2229,0,32,32,1427.68,121.887,8.36534,64
1024,16,16,5,0,1.03386,0.043758,0,59.665,59.665,51.2279,0,32,32,2077.16,246.193,12.1709,256
1024,32,32,5,0,0.90256,0.0556318,0,57.356,57.74,51.2115,0,32,32,2379.33,387.23,13.9414,1024
1024,16,32,5,0,1.02801,0.0527211,0,59.28,59.472,51.2112,0,32,32,2088.97,258.894,12.24,512
1024,32,16,5,0,1.03187,0.0471426,0,59.28,59.953,51.2063,0,32,32,2081.15,257.77,12.1943,512
2048,8,8,5,0,11.5337,0.0557757,0,66.666,82.711,51.2107,0,32,32,1489.54,96.3775,4.36388,64
2048,16,16,5,0,7.65764,0.0434586,0,66.562,67.824,51.2114,0,32,32,2243.49,146.15,6.57274,256
2048,32,32,5,0,6.63546,0.061028,0,63.496,64.746,51.2081,0,32,32,2589.1,210.704,7.58525,1024
2048,16,32,5,0,7.64692,0.0559546,0,66.476,74.23,51.2089,0,32,32,2246.64,147.156,6.58195,512
